lat,lon,ele,time,temperature,ds,dt,v,a,dh,phi,F_D,F_H,F_A,F_Antrieb
47.593724,12.094399,630.418289,2024-08-23 17:31:52.262000+00:00,29.170167908272123,26.32249421389826,10.821,2.4325380476756546,0.01991214759089287,0.9728259999999409,0.03694115875784117,1.630939648028032,36.23103498708585,1.991214759089287,39.85318939420317
47.593537,12.094983,632.20997,2024-08-23 17:32:07.609000+00:00,28.326958087045565,48.47886691094726,15.347,3.1588497368180923,0.047325971795297954,1.7916810000000396,0.03694116703293669,2.7502776637311985,36.23104309941617,4.732597179529796,43.71391794267716
47.593513,12.095423,633.433375,2024-08-23 17:32:14.721000+00:00,28.790783118609696,33.10259242669724,7.112,4.654470251222897,0.21029534791968563,1.223404999999957,0.03694116844648476,5.971165721192406,36.231044485160766,21.029534791968562,63.23174499832173
47.59357,12.095803,634.512249,2024-08-23 17:32:19.351000+00:00,28.51617127661744,29.191906051356543,4.63,6.3049473113081085,0.3564745270162445,1.0788740000000416,0.036941171008371104,10.956744389926103,36.23104699665663,35.64745270162445,82.83524408820719
47.593753,12.096286,634.472403,2024-08-23 17:32:23.923000+00:00,28.994489912873195,41.543979726619824,4.572,9.086609738980714,0.6084126044778227,-0.03984600000001137,-0.0009591278458095986,22.757385098691106,-0.9409042724787815,60.841260447782275,82.6577412739946
47.5942,12.097085,631.395982,2024-08-23 17:32:30.795000+00:00,28.921831052643476,77.84807357274346,6.872,11.328299413961505,0.32620629729056905,-3.076420999999982,-0.0394977150016931,35.37105757315688,-38.737184466547696,32.6206297290569,29.254502835666088
47.594305,12.097376,630.417967,2024-08-23 17:32:32.770000+00:00,29.27376997212895,24.748436509718303,1.975,12.530853928971291,0.6088883620302719,-0.9780150000000276,-0.039497701465182534,43.27927148965246,-38.737171197587806,60.88883620302718,65.43093649509183
47.594918,12.099815,623.14294,2024-08-23 17:32:48.910000+00:00,28.499991800572623,195.18155082035096,16.14,12.09303288849758,-0.027126458517578132,-7.275027000000023,-0.03725588173518008,40.30779812440456,-36.539565789255754,-2.7126458517578134,1.055586483390996
47.595092,12.100529,621.103955,2024-08-23 17:32:54.581000+00:00,28.620062532353312,56.92878333471869,5.671,10.038579321939462,-0.36227359664223563,-2.0389849999999115,-0.035801112731352766,27.775578742541196,-35.11338954730285,-36.22735966422356,-43.565170468985215
47.595556,12.103483,619.54235,2024-08-23 17:33:22.463000+00:00,28.265618142108845,227.43720220714044,27.882,8.157133713763017,-0.06747886120710299,-1.561604999999986,-0.006865985185521535,18.339765135672668,-6.735478546328394,-6.747886120710299,4.856400468633974
47.595608,12.104249,620.250117,2024-08-23 17:33:30.886000+00:00,28.532853369961945,57.72906621654771,8.423,6.85374168545028,-0.15474201927018125,0.7077669999999898,0.01225953558224445,12.947146759423482,12.026303149596735,-15.474201927018125,9.499247982002093
47.595599,12.104579,620.553744,2024-08-23 17:33:35.163000+00:00,28.943650246522424,24.765378881370985,4.277,5.7903621420086475,-0.24862743592275716,0.30362700000000586,0.012259525283182348,9.241235960876672,12.026293046976052,-24.862743592275717,-3.595214584422994
47.595584,12.105539,621.436539,2024-08-23 17:33:48.632000+00:00,29.133494308322675,72.0052298044121,13.469,5.345996718717952,-0.03299171603613448,0.8827949999999873,0.012259536911833131,7.877274552622195,12.026304453825214,-3.299171603613448,16.60440740283396
47.595581,12.105855,621.727076,2024-08-23 17:33:53.713000+00:00,28.293917337911186,23.697713909621122,5.081,4.663986205396796,-0.1342276152964291,0.29053699999997207,0.012259513532721833,5.995606493713773,12.02628152064052,-13.42276152964291,4.599126484711382
47.59555,12.107725,625.542881,2024-08-23 17:34:28.683000+00:00,29.18980296005283,140.26498462696927,34.97,4.0110089970537395,-0.018672496664085117,3.815804999999955,0.027197551154983145,4.434308243706691,26.677508476830315,-1.8672496664085116,29.244567054128495
47.595576,12.1095,629.8611,2024-08-23 17:35:03.675000+00:00,29.43281892940248,133.1304145254365,34.992,3.804595751184171,-0.005898869623615932,4.318218999999999,0.0324246384954269,3.9896577712490826,31.802996962189102,-0.5898869623615932,35.20276777107659
47.595543,12.110007,631.259579,2024-08-23 17:35:14.231000+00:00,28.96171745161185,38.19425675699277,10.556,3.6182509243077656,-0.017652977157673853,1.3984790000000658,0.03659855338064243,3.608410768939384,35.89516629266047,-1.7652977157673853,37.73827934583247
47.595631,12.110559,632.816914,2024-08-23 17:35:26.907000+00:00,29.69339790627903,42.53279600190163,12.676,3.355379930727487,-0.020737692772189842,1.5573349999999664,0.036598572331254714,3.1031445909201247,35.89518487076191,-2.073769277218984,36.92456018446305
47.595655,12.111249,634.71388,2024-08-23 17:35:42.782000+00:00,28.36810540044821,51.808599349106785,15.875,3.2635338172665693,-0.0057855819502940385,1.8969660000000204,0.03659853735906444,2.9355862266319654,35.89515058601749,-0.5785581950294039,38.25217861762006
47.595663,12.1116,635.462716,2024-08-23 17:35:50.073000+00:00,28.13267264834429,26.334842577742528,7.291,3.611965790391239,0.04778932562401178,0.748835999999983,0.028427520289754097,3.595885575057416,27.883641477243845,4.778932562401178,36.25845961470244
47.595651,12.111765,635.715358,2024-08-23 17:35:53.683000+00:00,27.86563987554786,12.444306663422047,3.61,3.447176361058739,-0.04564804136634351,0.2526420000000371,0.02029902552737174,3.2752587282067482,19.911976520172725,-4.5648041366343515,18.622431111745122
47.595466,12.112208,636.508597,2024-08-23 17:36:03.639000+00:00,29.503022155744592,39.07222228013913,9.956,3.9244899839432636,0.04794230844561315,0.7932389999999714,0.02029907690626164,4.245071962890819,19.912026912479824,4.794230844561316,28.95132971993196
47.595447,12.112299,636.653619,2024-08-23 17:36:05.223000+00:00,29.08218282817703,7.14325917404572,1.584,4.509633316948055,0.36940866982625736,0.14502200000003995,0.02029914873382236,5.605328475073508,19.91209736080014,36.940866982625735,62.45829281849938
47.595439,12.112486,636.93887,2024-08-23 17:36:08.282000+00:00,28.72720766454477,14.050483076090673,3.059,4.593162169366026,0.02730593410198439,0.2852509999999029,0.02029907569148647,5.814898858072494,19.912025721030894,2.730593410198439,28.457517989301827
47.595504,12.112983,637.709573,2024-08-23 17:36:16.456000+00:00,28.89498431315991,37.96218428537841,8.174,4.644260372568928,0.006251309420467598,0.7707030000000259,0.02029907274663662,5.944998183764005,19.912022832728358,0.6251309420467598,26.48215195853912
47.595543,12.113106,637.916487,2024-08-23 17:36:18.466000+00:00,28.19225547635081,10.191842746163685,2.01,5.070568530429695,0.21209361087600342,0.2069139999999834,0.020299133768127413,7.086502101754202,19.912082682478054,21.209361087600342,48.2079458718326
47.595802,12.113625,638.899393,2024-08-23 17:36:28.160000+00:00,29.97787598980841,48.414546850064326,9.694,4.994279642053262,-0.007869701709968306,0.9829060000000709,0.020299084823902247,6.874867282546997,19.912034678085064,-0.7869701709968306,25.99993178963523
47.595982,12.113924,638.900988,2024-08-23 17:36:33.343000+00:00,28.81961059098761,30.054645889000096,5.183,5.798696872274763,0.1552030156707508,0.0015949999999520514,5.3069998041082134e-05,9.267859042930839,0.05206166805386361,15.520301567075078,24.84022227805978
47.596413,12.114437,637.165881,2024-08-23 17:36:39.346000+00:00,28.809697397302447,61.45338808064871,6.003,10.237112790379594,0.7393663031992056,-1.7351069999999709,-0.028227022230123473,28.885080576739053,-27.687031790636492,73.93663031992055,75.13467910602311
47.596484,12.114726,636.514687,2024-08-23 17:36:41.338000+00:00,29.117883311949345,23.063713287789756,1.992,11.578169321179596,0.6732211500000007,-0.6511940000000322,-0.028227069623443908,36.9486350812424,-27.687078264963105,67.32211500000007,76.58367181627936
47.596546,12.115298,635.288141,2024-08-23 17:36:44.991000+00:00,28.99550461586836,43.4413765913594,3.653,11.891972787122748,0.08590294715115045,-1.2265459999999848,-0.028227011272302392,38.97861649713974,-27.687021045296188,8.590294715115045,19.8818901669586
47.596762,12.115911,633.823844,2024-08-23 17:36:49.417000+00:00,28.866942012139564,51.86190232691942,4.426,11.71755588046078,-0.03940734447852861,-1.4642969999999877,-0.02822704168240163,37.843620045605604,-27.687050865719662,-3.940734447852861,6.2158347320330805
47.596844,12.116359,632.773358,2024-08-23 17:36:52.466000+00:00,28.359762772277342,34.808095850382,3.049,11.416233470115449,-0.0988266350755434,-1.050485999999978,-0.030170201017356454,35.92231281880328,-29.592477340059155,-9.88266350755434,-3.552828028810218
47.596836,12.116587,632.247341,2024-08-23 17:36:54.004000+00:00,28.990734178568,17.119372880789776,1.538,11.130931652008957,-0.18550183231891512,-0.5260170000000244,-0.030716753329001648,34.14928687111715,-30.12839670871351,-18.550183231891513,-14.529293069487874
47.596775,12.116774,631.768736,2024-08-23 17:36:55.400000+00:00,29.69601224823752,15.57633214348769,1.396,11.157831048343619,0.019268908549184328,-0.47860500000001593,-0.030716760644194607,34.31453901449435,-30.12840388153262,1.9268908549184327,6.113025987880164
47.596726,12.116854,631.519737,2024-08-23 17:36:56.124000+00:00,29.427710023077488,8.103766349417066,0.724,11.193047443946224,0.04864143039033844,-0.24899900000002617,-0.030716665934001797,34.53148824209507,-30.12831101466142,4.864143039033844,9.267320266467497
47.596606,12.116936,631.068307,2024-08-23 17:36:57.417000+00:00,29.551593313319696,14.691910474801105,1.293,11.362653112761876,0.13117221099431742,-0.45142999999995936,-0.030716768531755794,35.585912262863815,-30.128411615580102,13.117221099431742,18.574721746715454
47.596546,12.116942,630.862845,2024-08-23 17:36:58.004000+00:00,28.499392161784407,6.6868479342000375,0.587,11.391563772061394,0.049251549062211006,-0.20546200000001136,-0.03071662155545602,35.767229250792035,-30.128267499844466,4.925154906221101,10.56411665716867
47.596348,12.116866,630.164059,2024-08-23 17:37:00.070000+00:00,28.26019758987071,22.742178849799046,2.066,11.007831001838841,-0.18573706206319102,-0.698786000000041,-0.030716767200823836,33.398127139990336,-30.128410310551754,-18.573706206319102,-15.30398937688052
47.59611,12.116746,629.305186,2024-08-23 17:37:02.570000+00:00,28.69210653995017,27.952287900154513,2.5,11.180915160061804,0.06923366328918519,-0.8588729999999032,-0.0307167293609922,34.456670589422785,-30.128373207187657,6.923366328918519,11.251663711153647
47.595591,12.116493,627.454686,2024-08-23 17:37:08.187000+00:00,28.782862456144347,60.74841164031433,5.617,10.815099099219214,-0.06512659085679014,-1.850500000000011,-0.030452285079242084,32.23885532496008,-29.869074690315152,-6.512659085679013,-4.142878451034088
47.595389,12.116538,627.220258,2024-08-23 17:37:10.420000+00:00,29.302095759235478,22.71342304324896,2.233,10.17170758766187,-0.2881287557354874,-0.23442800000009356,-0.010320755083687244,28.51716446547753,-10.124480994976885,-28.81287557354874,-10.420192103048095
47.595222,12.116716,626.984226,2024-08-23 17:37:12.701000+00:00,27.90876768514259,22.86882126875917,2.281,10.025787491783941,-0.06397198416393242,-0.2360319999999092,-0.010320760156691417,27.704836837632122,-10.12448597132893,-6.397198416393242,11.18315244990995
47.594246,12.117952,625.511226,2024-08-23 17:37:29.139000+00:00,29.519775159730305,142.71704519908815,16.438,8.68214169601461,-0.081740223614146,-1.47300000000007,-0.010320755290588835,20.776497958429292,-10.124481197936536,-8.1740223614146,2.477994399078156
47.594222,12.118064,625.420272,2024-08-23 17:37:30.075000+00:00,28.675996050710506,8.812371319681882,0.936,9.414926623591754,0.7828898798901116,-0.09095400000001064,-0.010320805516909894,24.431632442174386,-10.124530467333326,78.28898798901116,92.59608996385222
47.594202,12.118474,625.591676,2024-08-23 17:37:33.573000+00:00,28.54155946502629,30.82511961078241,3.498,8.812212581698802,-0.17230247052399997,0.1714040000000523,0.0055604726152608756,21.403684342504587,5.454795526130227,-17.230247052399996,9.628232816234817
47.594178,12.118788,625.75096,2024-08-23 17:37:36.665000+00:00,28.24894781236992,23.696771661454154,3.092,7.663897691285301,-0.37138256481678533,0.1592839999999569,0.006721658266984765,16.188924731073303,6.593897106846973,-37.13825648167853,-14.355434643758255
47.594171,12.118902,625.808659,2024-08-23 17:37:37.872000+00:00,27.927571664067116,8.583920957468484,1.207,7.111782069153673,-0.4574280216500651,0.057699000000070555,0.006721652182574883,13.940408057386778,6.5938911381757155,-45.74280216500651,-25.208502969444016
47.594087,12.120028,626.379679,2024-08-23 17:37:50.338000+00:00,29.091585291980955,84.95088246843973,12.466,6.814606326683759,-0.023838901208881293,0.5710199999999759,0.0067216653161391885,12.799710618728836,6.5939040219112455,-2.3838901208881293,17.009724519751952
47.594079,12.12014,626.436448,2024-08-23 17:37:52.037000+00:00,28.7166589835942,8.445576816276409,1.699,4.970910427472871,-1.0851653320841008,0.056769000000031156,0.006721642142660932,6.8106801004873185,6.593881289242623,-108.51653320841008,-95.11197181868013
47.59405,12.120378,626.558354,2024-08-23 17:37:56.002000+00:00,28.035019550129476,18.136007735014953,3.965,4.574024649436306,-0.10009729584780962,0.12190599999996721,0.006721664758839925,5.766543974187536,6.593903475213018,-10.009729584780962,2.350717864619593
47.593927,12.121007,627.285447,2024-08-23 17:38:07.540000+00:00,28.03246061396819,49.11013760977736,11.538,4.256382181467964,-0.02753011509519349,0.727092999999968,0.014804272935637615,4.993440043844144,14.522461263468776,-2.753011509519349,16.76288979779357
47.593844,12.121415,628.086279,2024-08-23 17:38:14.775000+00:00,28.51210765035493,31.95672566025743,7.235,4.416962772668615,0.022194967684955283,0.800832000000014,0.025054645189300267,5.377322512248079,24.576035535103138,2.2194967684955285,32.17285481584675
47.593831,12.121607,628.448898,2024-08-23 17:38:17.912000+00:00,29.514510762644697,14.470048749947075,3.137,4.612702821149849,0.06239721022672424,0.36261899999999514,0.025054726929535535,5.864480654039691,24.57611569710701,6.239721022672424,36.68031737381913
