lat,lon,ele,time,temperature,lat_glatt,lon_glatt,ele_glatt,time_s,ds,s,dt,ds_orig,s_orig,v,a,dh,phi_rad,phi_grad,rho,F_D,F_H,F_A,F_R,F_Antrieb,P,T_drehmoment,I_motor,SOC_lifepo,SOC_nmc
47.508148,11.993884,593.043589,2024-08-23 18:48:42.854000+00:00,28.0144970811119,47.5083527,11.994685800000001,592.9735418,8848.667,16.45841954398672,42919.4358390689,1.7119999999995343,9.403880537573661,45804.0429604476,7.241313573323189,-0.06812750121624452,0.04505410000001575,0.006714876365302749,0.3847340756839939,1.1803965387133888,17.408252088567554,5.269795369151483,-5.450200097299561,2.3543469207639953,22.852874933874396,176.32426743654096,8.212999855294324,5.589281818386983,0.6236670720790595,0.6236670720790595
47.508125,11.99352,593.060986,2024-08-23 18:48:46.078000+00:00,27.45732647337012,47.5083074,11.9944817,593.0013342,8851.891,16.136351934404015,42935.5721910033,3.22400000000016,27.4596006655559,45831.50256111316,7.391069311360473,-0.06717084252476367,0.027792399999952977,0.007975557222204334,0.45696576809739087,1.1803944867011544,18.13569709200532,6.259150950569552,-5.373667401981094,2.3543251192782195,23.09616016453426,174.71407893101258,8.338879317572028,5.647577317316176,0.6235827767583603,0.6235827767583603
47.508111,11.993252,593.073778,2024-08-23 18:48:49.412000+00:00,28.947574563886693,47.508264100000005,11.994263700000001,593.0238791999999,8855.225,17.067261753052538,42952.63945275635,3.334000000000742,20.189742588811058,45851.692303701966,8.025969606852842,-0.06269058397016565,0.022544999999922766,0.009216000423646276,0.5280379282657103,1.180392822125839,21.385239214924095,7.232614748179387,-5.015246717613252,2.3543000156214458,23.376841740697547,173.50366265457134,8.472678387429092,5.709194062625952,0.6234946542907455,0.6234946542907455
47.508068,11.993006,593.085871,2024-08-23 18:48:51.659000+00:00,27.281200790485244,47.5082294,11.9940757,593.0332526,8857.472,14.638425025770763,42967.27787778212,2.246999999999389,19.08583421042414,45870.77813791239,7.975163453299622,-0.05821816151439711,0.009373400000072252,0.010437778748702175,0.5980406697919761,1.1803921300559927,21.115337238294074,8.191420021343928,-4.657452921151769,2.35427174849088,23.811440418639616,173.32122940642265,8.606888312388437,5.773920020827562,0.6234345894838621,0.6234345894838621
47.508033,11.992898,593.091571,2024-08-23 18:48:53.246000+00:00,28.029910355113515,47.5081937,11.993887599999999,593.0426571999999,8859.059,14.675366505095157,42981.953244287215,1.5869999999995343,8.997226079387906,45879.77536399178,7.757424922553055,-0.05516195126282745,0.009404599999925267,0.011593016924328499,0.6642309415877574,1.1803914356829528,19.97807978318823,9.097995886879557,-4.412956101026196,2.354241788397611,24.266228384447054,172.99924945800944,8.739306668207691,5.841327470331593,0.6233916719528648,0.6233916719528648
47.507883,11.992488,593.409967,2024-08-23 18:48:57.892000+00:00,28.191888440466048,47.508144099999996,11.9936622,593.083709,8863.705,17.80561809164576,42999.75886237886,4.64600000000064,35.02221876993027,45914.79758276171,7.229929602531116,-0.05102236266085856,0.04105180000010478,0.012839002905801353,0.7356206796586175,1.1803884046961817,17.353440976608333,10.075772660095769,-4.0817890128686845,2.3542059530227424,24.861446876969875,173.36308072741028,8.868915991729041,5.911055290814294,0.6232645295321189,0.6232645295321189
47.507649,11.991848,594.538766,2024-08-23 18:49:07.481000+00:00,28.081899548725747,47.508073,11.993377299999999,593.2373881999999,8873.294,22.812755806964034,43022.57161818582,9.588999999999942,54.661236115752715,45969.458818877465,7.268648207156807,-0.04760308897886622,0.15367919999994228,0.014143823981026614,0.8103814202887472,1.1803770581343895,17.539636607311895,11.099702973225446,-3.8082471183092976,2.354164507706536,25.520837506940865,174.1012000302586,8.99765655864245,5.982587233569075,0.6229989414349768,0.6229989414349768
47.507322,11.990776,596.363239,2024-08-23 18:49:26.983000+00:00,27.782356170561147,47.5079749,11.9930008,593.5726707,8892.796,30.31009266582216,43052.881710851645,19.502000000000407,88.34872128171659,46057.807540159185,7.116583436859383,-0.032544261727643804,0.3352825000000621,0.015424746721424059,0.8837728871958523,1.1803523036755676,16.813079794011443,12.104861209881001,-2.6035409382115042,2.354119922819525,26.221725204713668,175.2521293871493,9.1225869873866,6.05529226761157,0.6224522270377408,0.6224522270377408
47.507233,11.990263,597.184788,2024-08-23 18:49:38.101000+00:00,27.810089650133285,47.5078739,11.992594100000002,593.9890186,8903.914,32.5466358699207,43085.428346721565,11.118000000000393,39.78290556944211,46097.59044572863,6.676098938853458,-0.01743106903005166,0.4163479000000052,0.01663453146572106,0.9530884471633839,1.1803215647474306,14.795798272063909,13.054178243059578,-1.3944855224041328,2.3540742672807897,26.937458790796654,176.5054580292412,9.24128655422668,6.1284512752948395,0.6221367820318208,0.6221367820318208
47.507159,11.989861,598.374907,2024-08-23 18:49:47.499000+00:00,27.89690573598956,47.507773099999994,11.9921796,594.5227462,8913.312,33.08965030177823,43118.517997023344,9.397999999999229,31.296072885903072,46128.886518614534,6.012921676012748,-0.014632088273007583,0.5337276000000202,0.01776094032931056,1.0176269210531896,1.1802821608574101,12.001885184945461,13.938053148002766,-1.1705670618406065,2.3540286608429373,27.664411677749833,177.82238299365395,9.353547991338756,6.201320075168695,0.6218669671889206,0.6218669671889206
47.506834,11.988831,601.745856,2024-08-23 18:50:13.234000+00:00,27.80149899918576,47.5076417,11.9916743,595.3929728999999,8939.047,40.66894737211196,43159.18694439546,25.735000000000582,85.38975329167161,46214.27627190621,5.525554638986466,-0.014381182512661142,0.8702266999998756,0.018870375939929608,1.0811928991831805,1.1802179168281028,10.134597145428094,14.80859213319604,-1.1504946010128914,2.353980822010089,28.34057125045398,179.06285235634408,9.46435815383062,6.273108504721822,0.6211195669696197,0.6211195669696197
47.506683,11.988081,604.06646,2024-08-23 18:50:31.017000+00:00,28.356939558397453,47.50749750000001,11.9911304,596.4935203000001,8956.83,43.88704594262924,43203.07399033809,17.782999999999447,58.78335852088812,46273.059630427095,5.317985601867632,-0.012120920871378515,1.1005474000002096,0.020028561722260307,1.147552056402787,1.1801366745016093,9.38683431685402,15.717364371254398,-0.9696736697102812,2.3539277899109377,29.00065658003703,180.50677699328037,9.574784918282926,6.343050110257804,0.6205973518765145,0.6205973518765145
47.50651,11.987457,605.933145,2024-08-23 18:50:44.999000+00:00,28.98026150079568,47.5073374,11.990550899999999,597.779457,8970.812,47.02697483511638,43250.1009651732,13.981999999999971,50.66441161966176,46323.72404204676,5.243453151177208,-0.004609273063556223,1.2859366999998656,0.0212114064375406,1.2153240664077012,1.1800417538357628,9.124828056839737,16.64546350839619,-0.36874184508449787,2.353870369604349,29.64526957825534,182.35257786744896,9.686889516158587,6.410364870400117,0.6201823994616167,0.6201823994616167
47.50639,11.987162,606.808804,2024-08-23 18:50:51.969000+00:00,27.596254107496083,47.507169600000005,11.9899665,599.1517503,8977.782,47.69634902289574,43297.7973141961,6.969999999999345,25.86576038897048,46349.58980243573,5.016913553591816,0.001030232903248567,1.372293300000024,0.022280613675438415,1.2765851285640861,1.17994046722887,8.352680368375072,17.48437891272352,0.08241863225988535,2.353815631787317,30.316367298714443,184.76588658112888,9.798659570470335,6.47424004210258,0.6199734853269248,0.6199734853269248
47.506351,11.987065,607.095849,2024-08-23 18:50:54.183000+00:00,27.19009851021046,47.5070014,11.9893832,600.5521781,8979.996,47.637895172026525,43345.43520936812,2.213999999999942,8.478883774165066,46358.068686209896,5.011963788499536,-0.013692062941701872,1.4004277999999886,0.02323662822942074,1.3313607276603554,1.1798371130258676,8.335476538653195,18.234464808879327,-1.0953650353361497,2.353764410181742,30.85069923582142,186.89146628430584,9.909775798377588,6.533784242241443,0.6199065140384418,0.6199065140384418
47.506253,11.986825,607.808976,2024-08-23 18:51:00.001000+00:00,27.830858975824373,47.50683840000001,11.9888169,601.992079,8985.814,46.236640230130774,43391.67184959826,5.8180000000011205,21.064793233768988,46379.13347944366,5.500176087825521,-0.026443150082781273,1.4399008999999978,0.024122156347753925,1.382097751481008,1.1797308550733425,10.037571609712247,18.929232425090564,-2.115452006622502,2.353715045930193,31.046340341972765,187.6832790493364,10.020298200514327,6.588231009365461,0.6197290588161617,0.6197290588161617
47.505975,11.986297,609.511288,2024-08-23 18:51:13.066000+00:00,29.16485466882716,47.506671,11.9882618,603.4893312,8998.879,45.66128179510231,43437.33313139336,13.06500000000051,50.28390864427506,46429.41738808794,5.435449291684625,-0.02156908565571344,1.497252200000048,0.024875607343489654,1.4252673136065948,1.179620375012168,9.80179676462807,19.520363311219178,-1.7255268524570753,2.353671591098848,31.121666420906564,188.20697486785798,10.126432899059047,6.637158503217393,0.619327602909474,0.619327602909474
47.505761,11.986037,610.553442,2024-08-23 18:51:21.295000+00:00,27.473162716015132,47.5065149,11.987787899999999,604.9083515,9007.108,39.602459916600054,43476.93559130996,8.22899999999936,30.783776529239695,46460.20116461718,5.970240511241457,-0.015495391172339888,1.4190202999999428,0.025567256402534815,1.464895885594077,1.1795156771185975,11.82442150828045,20.06299684598962,-1.239631293787191,2.353630524406501,31.16093356027877,188.96862723649897,10.230865412370886,6.680252197875673,0.619073103856991,0.619073103856991
47.505631,11.985822,611.287196,2024-08-23 18:51:26.900000+00:00,28.694558402722038,47.5063547,11.9873438,606.3185923000001,9012.713,37.81604293996255,43514.75163424992,5.604999999999563,21.674037692721942,46481.8752023099,6.284425888001076,-0.014162764851064935,1.4102408000001105,0.026103737532093597,1.4956339901062063,1.179411636198936,13.100538788492512,20.48388672604692,-1.1330211880851948,2.3535978954488703,31.18454848072655,190.0204393698664,10.329264451153408,6.717268523498437,0.6188987969584993,0.6188987969584993
47.505553,11.985575,611.969035,2024-08-23 18:51:32.606000+00:00,28.71385040703822,47.5061941,11.9869152,607.6780051,9018.419,36.81478032847907,43551.5664145784,5.706000000000131,20.480380731569483,46502.35558304147,6.6628182069419575,-0.015817533145292575,1.359412799999859,0.026346527920608834,1.509544854674471,1.1793113538164697,14.724377339189012,20.67436310292353,-1.265402651623406,2.3535829062075964,31.06314483148589,190.61947312447433,10.417545667255126,6.747941749663019,0.6187205388306123,0.6187205388306123
47.505449,11.985177,612.897658,2024-08-23 18:51:41.075000+00:00,27.598205879146004,47.5060556,11.9865498,608.7931853,9026.888,31.471939532819913,43583.038354111224,8.46900000000096,32.05422852599542,46534.409811567464,6.753855535201787,-0.013223545766530424,1.1151802000000544,0.026104016351994636,1.4956499653097801,1.1792290945699742,15.128443603437884,20.484105469356887,-1.0578836613224338,2.3535978783148326,30.86010401611785,191.28181051379946,10.492133570913882,6.772241082285291,0.6184550105448443,0.6184550105448443
47.505362,11.984603,614.177792,2024-08-23 18:51:52.499000+00:00,28.15949153959264,47.5059235,11.986202,609.8043185,9038.312,29.970868122216093,43613.00922223344,11.423999999999069,44.18766231445359,46578.59747388192,6.802314197229962,-0.00882108507388153,1.0111332000000175,0.025421726902222073,1.4565576594315093,1.1791545151216005,15.345343890373067,19.948822409224615,-0.7056868059105225,2.3536392587566106,30.705823448769547,192.68870227736318,10.550889998919443,6.790241441526855,0.6180958822197147,0.6180958822197147
47.505349,11.984189,615.07967,2024-08-23 18:52:00.188000+00:00,28.68919831156427,47.505807399999995,11.985875199999999,610.718971,9046.001,27.734921192362428,43640.74414342581,7.689000000000306,31.130998713788028,46609.72847259571,6.781600883259853,-0.005743715455103139,0.9146524999999883,0.024375912377001426,1.396636900982888,1.179087055987077,15.251159261511381,19.128321608185654,-0.45949723640825113,2.353700559929424,30.729032322343688,195.3307066114541,10.592505832524456,6.801916536027298,0.6178537528852447,0.6178537528852447
47.505455,11.983397,616.836638,2024-08-23 18:52:15.524000+00:00,27.685436129506257,47.5057139,11.985498699999999,611.7217544,9061.337,30.13093554313725,43670.875078968944,15.33599999999933,60.64704791617424,46670.37552051188,6.874769824453407,-0.00041208224911334804,1.0027833999999984,0.023080679884559197,1.322425545677738,1.1790131012952405,15.67211054163151,18.1121093663246,-0.032966579929067846,2.353772912463885,30.740199906577036,198.12423144416772,10.616787117091047,6.806921557357936,0.6173704614546723,0.6173704614546723
47.505465,11.982989,617.698594,2024-08-23 18:52:23.116000+00:00,27.773209819948818,47.5056253,11.9850911,612.7820289,9068.929,32.162550200556545,43703.0376291695,7.592000000000553,30.666837173125266,46701.04235768501,7.123264727524871,0.00511033582994249,1.0602744999999913,0.021600456762103204,1.2376150080233332,1.1789349117133645,16.8244365678372,16.95072025138988,0.4088268663953992,2.3538507636948083,30.87262998811902,201.85636730766964,10.62274490886759,6.8049130822521535,0.6171312813615221,0.6171312813615221
47.505412,11.982469,617.839676,2024-08-23 18:52:31.731000+00:00,27.58415954302568,47.505541199999996,11.9846555,613.7850989,9077.544,34.02987784497757,43737.06750701448,8.614999999999782,39.5015927643764,46740.543950449384,7.284024506088144,0.00876871946705295,1.0030699999999797,0.020022888327215705,1.1472269948112208,1.1788609454311276,17.591298894329316,15.71291278358193,0.7014975573642359,2.3539280573855055,31.001756117291453,205.80525544902468,10.608318794136707,6.795300697994305,0.6168602558267386,0.6168602558267386
47.505402,11.981986,617.969314,2024-08-23 18:52:38.492000+00:00,27.367621634653567,47.5054839,11.984224399999999,614.6309014999999,9084.305,33.00265734129057,43770.07016435577,6.761000000000422,36.29732337956386,46776.84127382895,7.175117501834922,0.01072788597895859,0.8458025999999563,0.01841755043144913,1.0552479086913835,1.1787985796376639,17.06829617191745,14.453276439521103,0.8582308783166872,2.354000697791202,31.19737246456722,210.22191507437572,10.571786822779345,6.777549154644678,0.6166481122626898,0.6166481122626898
47.505405,11.98184,618.008501,2024-08-23 18:52:40.326000+00:00,27.395361227467,47.5054483,11.9838047,615.3764074,9086.139,31.773063634663036,43801.84322799043,1.8339999999989232,10.971785169823912,46787.81305899877,6.598337086257758,0.010528146032000951,0.7455059000000119,0.01684306271710277,0.9650364077641375,1.1787436120209618,14.43380654054205,13.217810642308505,0.8422516825600761,2.354066049484682,31.434759656761948,214.3958143563972,10.514432154579813,6.751029677145028,0.6165907910199682,0.6165907910199682
47.505462,11.981098,618.208844,2024-08-23 18:52:47.583000+00:00,27.10802986661887,47.5054314,11.9833323,616.0685722,9093.396,35.53377697456323,43837.37700496499,7.257000000001426,56.094129896669386,46843.90718889544,6.434104246338688,0.010252271785747186,0.6921648000000005,0.015276820813443354,0.8752973569879173,1.178692579643129,13.723638413026459,11.98878263550509,0.8201817428597749,2.354125268930748,31.549461601544294,217.3963733641892,10.441669331835921,6.7151028165441815,0.6163651822183956,0.6163651822183956
47.505459,11.980907,618.260099,2024-08-23 18:52:49.134000+00:00,27.73704173412961,47.505422,11.982865499999999,616.6976786,9094.947,35.07899547996101,43872.45600044495,1.5509999999994761,14.350726146163057,46858.257915041606,6.502001117381748,0.010954195298742255,0.6291064000000688,0.013703625260559776,0.7851598914589382,1.1786461983927774,14.014256772396951,10.754268507605905,0.8763356238993804,2.3541789378421933,31.880147406890842,221.06796150498403,10.35532021789311,6.669302193251046,0.6163172929234803,0.6163172929234803
47.505376,11.980551,618.361133,2024-08-23 18:52:52.108000+00:00,27.33501338447068,47.505414699999996,11.9824029,617.2440260999999,9097.921,34.757424519407905,43907.21342496436,2.97400000000016,28.28860503360928,46886.546520075215,6.4316755626180795,0.00799346254465755,0.5463474999999107,0.012214919723713318,0.6998633472598788,1.1786059200731995,13.712271609975204,9.58603061558042,0.639477003572604,2.3542243589244705,32.035480034050835,223.49079315051506,10.257028202582747,6.6128535960564,0.6162262437262827,0.6162262437262827
47.505292,11.980333,618.286672,2024-08-23 18:52:54.818000+00:00,27.83689295589537,47.5054077,11.9819759,617.6549140999999,9100.631,32.08331792681533,43939.29674289117,2.709999999999127,18.851589824352438,46905.398109899565,6.273321895742904,0.003922455798667648,0.4108879999999999,0.010750810839991362,0.6159760874750004,1.1785756291270155,13.045031515450544,8.437073818961514,0.3137964638934118,2.3542639406125137,31.957204968425085,224.93708468259658,10.147902539814275,6.545103714287848,0.6161441269157932,0.6161441269157932
47.504944,11.979633,616.805028,2024-08-23 18:53:03.830000+00:00,26.942052176898184,47.5053672,11.9815203,617.8274499,9109.643,34.517199396721644,43973.813942287896,9.012000000000626,65.28451399113403,46970.6826238907,6.417219049412704,0.0020898956913525967,0.17253580000010516,0.009455814667054294,0.5417782722801128,1.1785629099011634,13.650200440455013,7.420812764065738,0.16719165530820773,2.3542947444704723,31.65974676047019,225.55916687958515,10.033811960721758,6.465692699673623,0.6158743638481569,0.6158743638481569
47.504587,11.97897,615.359644,2024-08-23 18:53:12.196000+00:00,27.885440116107223,47.505280400000004,11.9810776,617.6797505000001,9118.009,34.625609077543,44008.43955136544,8.365999999999985,63.68680056023031,47034.36942445093,6.886638438778373,0.004510922807939289,-0.14769939999996495,0.008304055815918983,0.47578735109322295,1.1785737981954627,15.720410322615516,6.516948105159693,0.3608738246351431,2.3543188238823034,31.221246192776867,225.99934488521882,9.916300025785354,6.37455004976063,0.6156274680809518,0.6156274680809518
47.503969,11.977951,613.557665,2024-08-23 18:53:25.961000+00:00,28.136764480804462,47.5051308,11.9805738,617.2656575999999,9131.774,41.33755928332409,44049.77711064876,13.764999999999418,102.86448506576913,47137.2339095167,7.570203607690698,0.008261668223829727,-0.4140929000001279,0.0072525594899152,0.4155410494396941,1.1786043253647163,18.99659144340944,5.691758789988468,0.6609334579063781,2.3543380799997458,30.698520281206473,226.3160370747728,9.791364035105394,6.271857655261273,0.6152277823373191,0.6152277823373191
47.503483,11.97723,612.915574,2024-08-23 18:53:37.425000+00:00,26.72313217871427,47.5049379,11.9800499,616.7732474000001,9143.238,44.818745170276124,44094.59585581904,11.463999999999942,76.50899900939503,47213.742908526096,7.5200606534177465,0.010284900132795292,-0.4924101999998811,0.005736991199141116,0.32870538281448314,1.178640627160014,18.746345844777366,4.502365995211404,0.8227920106236233,2.3543612548425967,30.110860297303752,226.28605701723683,9.652046453729522,6.157961961299049,0.6149009542080398,0.6149009542080398
47.503275,11.976974,612.663143,2024-08-23 18:53:42.547000+00:00,27.907028284923783,47.5047252,11.9795487,616.2426303,9148.36,44.46046565879471,44139.05632147784,5.122000000001208,30.07863469482074,47243.82154322092,8.409317609874227,0.010115268159683378,-0.5306171000000859,0.004068286338232604,0.23309563703146036,1.1786797469216617,23.442820566877305,3.1927823109625586,0.8092214527746702,2.354380516244142,29.435024601074023,225.83381224772464,9.499467101816078,6.03336396385697,0.6147578852718227,0.6147578852718227
47.50303,11.976772,612.40144,2024-08-23 18:53:48.823000+00:00,28.333834496236644,47.5044877,11.9790419,615.6819241999999,9154.636,46.33186996786173,44185.3881914457,6.27599999999984,31.183508874180838,47275.0050520951,8.8889367763734,0.0085375684154045,-0.5607061000000613,0.0022325318779870063,0.12791465423707113,1.1787210864066753,26.194084150847416,1.7520895623829695,0.6830054732323599,2.3543941326038613,28.593496850719394,224.41682591490894,9.326425106489284,5.898711599641806,0.6145864949292331,0.6145864949292331
47.502551,11.976497,612.824743,2024-08-23 18:54:00.315000+00:00,27.115179490654395,47.5041966,11.9785818,615.1435141,9166.128,47.35182728653912,44232.74001873224,11.49200000000019,57.128037582422,47332.13308967752,9.49307246270538,0.008591949091589845,-0.5384100999999646,0.00031256770921261835,0.017908810549955412,1.1787607834268665,29.87664328052774,0.24530313419576852,0.6873559273271876,2.354399884989241,27.652910652654263,222.2184062936143,9.132976694859327,5.7548689642979785,0.614280314586003,0.614280314586003
47.502307,11.976377,613.388005,2024-08-23 18:54:07.198000+00:00,28.55628619341885,47.5038814,11.9781288,614.6563047,9173.011,48.849711646770125,44281.58973037901,6.882999999999811,28.589828915820362,47360.72291859334,9.710487622620635,0.018547905619242962,-0.48720939999998336,-0.0017035884695787624,-0.09760842933401412,1.1787967065675669,31.26176707841909,-1.3369755842270568,1.483832449539437,2.3543965835148897,26.669110711504505,219.45504781562647,8.915295392140738,5.602847978439741,0.6141017756849122,0.6141017756849122
47.501916,11.976169,614.298206,2024-08-23 18:54:20.379000+00:00,27.929509504683026,47.503535400000004,11.977690599999999,614.250012,9186.192,50.632832908859626,44332.22256328787,13.180999999998676,46.199593057812564,47406.92251165115,9.547829397466808,0.03341182828798986,-0.4062926999999945,-0.004050342702116026,-0.2320675424128619,1.1788266643592014,30.22398900425599,-3.1787002613615023,2.6729462630391887,2.3543806877354894,25.741380970152104,216.7194493071684,8.673040927982523,5.443746828880105,0.6137695811156925,0.6137695811156925
47.501673,11.97599,614.892821,2024-08-23 18:54:30.356000+00:00,27.367494072120795,47.5031735,11.977256299999999,613.9106269000001,9196.169,51.80410996996239,44384.02667325783,9.977000000000771,30.181224526136965,47437.10373617729,10.511086018822734,0.05530244239771159,-0.3393850999998449,-0.00661566274813411,-0.37904955415000424,1.1788516893355854,36.630840330636126,-5.1919342519834055,4.4241953918169274,2.354348477683053,24.8261638004043,213.65134841576196,8.408909525566521,5.27859438008325,0.6135257638187939,0.6135257638187939
47.501194,11.97561,616.083374,2024-08-23 18:54:47.216000+00:00,27.692115461171145,47.5027985,11.976854,613.8384615,9213.029,51.49734291476794,44435.524016172596,16.860000000000582,60.429584060585434,47497.533320237875,10.277645727026748,0.08496600693485125,-0.07216540000013083,-0.009287654075243838,-0.5321433800889515,1.1788570106083092,35.02200038150917,-7.2888461272560825,6.7972805547881,2.3542984548478976,23.99470322269013,209.86968806246492,8.114043017571614,5.108405144208079,0.6131270244172599,0.6131270244172599
47.500572,11.975134,615.716793,2024-08-23 18:55:06.275000+00:00,27.99916345626086,47.502396999999995,11.9764704,613.8741764,9232.088,53.13647625322251,44488.66049242582,19.058999999999287,77.8598613263676,47575.39318156424,9.993526818270393,0.09143100980315307,0.035714900000016314,-0.012656984009599253,-0.7251917651146075,1.1788543770894782,33.11236921868083,-9.932935837641017,7.314480784252245,2.35421141596731,23.228463414492126,205.3255011406788,7.788643884832721,4.9340751099456694,0.6126916608176282,0.6126916608176282
47.500429,11.974982,615.608991,2024-08-23 18:55:10.777000+00:00,27.758002695706203,47.502043,11.9761735,614.079309,9236.59,45.24226695868584,44533.90275938451,4.5020000000004075,19.575984727761238,47594.969166292,9.783220951618901,0.09745886431222274,0.20513259999995626,-0.01635305780503519,-0.9369611943619861,1.17883925128776,31.73297891726982,-12.83330776167232,7.796709144977819,2.3540851972490393,22.745079864110775,200.4147693723971,7.439632619221714,4.756444880400258,0.6125925241747968,0.6125925241747968
